riskygain,riskyloss,certain
2.00,-3.75,0.00
2.00,-3.25,0.00
2.00,-2.75,0.00
2.00,-2.25,0.00
2.00,-1.75,0.00
2.00,-1.25,0.00
2.00,-0.75,0.00
4.00,-8.00,0.00
4.00,-7.00,0.00
4.00,-6.00,0.00
4.00,-5.00,0.00
4.00,-4.00,0.00
4.00,-3.00,0.00
4.00,-2.00,0.00
4.00,-1.00,0.00
5.00,-9.38,0.00
5.00,-8.13,0.00
5.00,-6.88,0.00
5.00,-5.63,0.00
5.00,-4.38,0.00
5.00,-3.13,0.00
5.00,-1.88,0.00
6.00,-12.00,0.00
6.00,-10.50,0.00
6.00,-9.00,0.00
6.00,-7.50,0.00
6.00,-6.00,0.00
6.00,-4.50,0.00
6.00,-3.00,0.00
6.00,-1.50,0.00
8.00,-15.00,0.00
8.00,-13.00,0.00
8.00,-11.00,0.00
8.00,-9.00,0.00
8.00,-7.00,0.00
8.00,-5.00,0.00
8.00,-3.00,0.00
9.00,-18.00,0.00
9.00,-15.75,0.00
9.00,-13.50,0.00
9.00,-11.25,0.00
9.00,-9.00,0.00
9.00,-6.75,0.00
9.00,-4.50,0.00
9.00,-2.25,0.00
10.00,-18.75,0.00
10.00,-16.25,0.00
10.00,-13.75,0.00
10.00,-11.25,0.00
10.00,-8.75,0.00
10.00,-6.25,0.00
10.00,-3.75,0.00
12.00,-24.00,0.00
12.00,-21.00,0.00
12.00,-18.00,0.00
12.00,-15.00,0.00
12.00,-12.00,0.00
12.00,-9.00,0.00
12.00,-6.00,0.00
12.00,-3.00,0.00
5.00,-5.00,0.00
5.00,-2.50,0.00
8.00,-6.00,0.00
8.00,-2.00,0.00
3.25,0.00,1.00
4.00,0.00,2.00
4.00,0.00,2.25
5.00,0.00,2.00
5.00,0.00,3.00
7.00,0.00,3.00
8.00,0.00,3.00
7.00,0.00,4.00
8.00,0.00,4.25
12.00,0.00,4.00
12.00,0.00,5.00
13.00,0.00,5.00
10.00,0.00,6.00
11.00,0.00,6.00
13.00,0.00,6.00
19.00,0.00,8.00
17.00,0.00,9.00
25.00,0.00,9.00
17.00,0.00,10.00
22.00,0.00,10.00
25.00,0.00,10.00
26.00,0.00,10.00
24.00,0.00,12.00
30.00,0.00,12.00
22.00,0.00,13.00
28.00,0.00,13.00